FIR Number,Date and Time,Location,Latitude,Longitude,Accused Information,Accused email,criminal information,Incident Description,Crime Type
FIR2024101,22-10-2023 09:30,Delhi,28.7040592,77.1024902,Ashok Sharma,ashok@email.com,Amit Patel,Theft of Mobile Phone,IPC 379
FIR2024102,22-10-2023 14:15,Mumbai,19.0759837,72.8776559,Ramesh Verma,ramesh@email.com,Vinay Kumar,Physical Assault,IPC 351
FIR2024103,23-10-2023 17:45,Kolkata,22.572646,88.363895,Rekha Das,rekha@email.com,Suresh Gupta,Burglary at Residence,IPC 454
FIR2024104,23-10-2023 08:20,Chennai,13.0826802,80.2707184,Mohan Reddy,mohan@email.com,Lalitha Kumar,Robbery at Jewelry Store,IPC 392
FIR2024105,24-10-2023 19:00,Bangalore,12.9715987,77.5945627,Sunita Menon,sunita@email.com,Arvind Desai,Vehicle Theft,IPC 379
FIR2024106,24-10-2023 09:45,Hyderabad,17.385044,78.486671,Anand Rao,anand@email.com,Sarita Gupta,Physical Assault,IPC 351
FIR2024107,25-10-2023 17:15,Pune,18.5204303,73.8567437,Aarti Shah,aarti@email.com,Rajesh Singh,Robbery at Bank,IPC 392
FIR2024108,25-10-2023 08:30,Jaipur,26.9124336,75.7872709,Rajiv Mehta,rajiv@email.com,Shikha Sharma,Theft of Jewelry,IPC 379
FIR2024109,26-10-2023 12:00,Lucknow,26.8466937,80.946166,Neha Verma,neha@email.com,Mukesh Yadav,Robbery at ATM,IPC 392
FIR2024110,26-10-2023 16:30,Delhi,28.7040592,77.1024902,Karan Kapoor,karan@email.com,Manish Kumar,Burglary at Shop,IPC 454
FIR2024111,27-10-2023 10:45,Mumbai,19.0759837,72.8776559,Anjali Khan,anjali@email.com,Rajesh Patel,Physical Assault,IPC 351
FIR2024112,27-10-2023 19:30,Kolkata,22.572646,88.363895,Rohit Das,rohit@email.com,Surbhi Gupta,Theft of Electronics,IPC 379
FIR2024113,28-10-2023 08:15,Chennai,13.0826802,80.2707184,Raghav Reddy,raghav@email.com,Kavita Kumar,Robbery at Gas Station,IPC 392
FIR2024114,28-10-2023 17:40,Bangalore,12.9715987,77.5945627,Pooja Menon,pooja@email.com,Vikas Desai,Vehicle Theft,IPC 379
FIR2024115,29-10-2023 09:20,Hyderabad,17.385044,78.486671,Shilpa Rao,shilpa@email.com,Satish Gupta,Assault in Public Place,IPC 351
FIR2024116,29-10-2023 18:55,Pune,18.5204303,73.8567437,Aditya Shah,aditya@email.com,Ritu Singh,Burglary at Warehouse,IPC 454
FIR2024117,30-10-2023 11:30,Jaipur,26.9124336,75.7872709,Neelam Mehta,neelam@email.com,Vikram Sharma,Robbery at Supermarket,IPC 392
FIR2024118,30-10-2023 15:15,Lucknow,26.8466937,80.946166,Vishal Verma,vishal@email.com,Kirti Yadav,Theft of Valuables,IPC 379
FIR2024119,31-10-2023 07:40,Delhi,28.7040592,77.1024902,Ravi Kapoor,ravi@email.com,Manisha Kumar,Physical Assault at Park,IPC 351
FIR2024120,31-10-2023 16:25,Mumbai,19.0759837,72.8776559,Alka Khan,alka@email.com,Pradeep Patel,Robbery at Jewelry Store,IPC 392
FIR2024121,01-11-2023 10:10,Kolkata,22.572646,88.363895,Suraj Das,suraj@email.com,Sunita Gupta,Burglary at Residence,IPC 454
FIR2024122,01-11-2023 19:45,Chennai,13.0826802,80.2707184,Meenal Reddy,meenal@email.com,Krishna Kumar,Theft of Electronics,IPC 379
FIR2024123,02-11-2023 08:30,Bangalore,12.9715987,77.5945627,Prakash Menon,prakash@email.com,Kiran Desai,Robbery at Bank,IPC 392
FIR2024124,02-11-2023 18:00,Hyderabad,17.385044,78.486671,Shruti Rao,shruti@email.com,Vivek Gupta,Vehicle Theft,IPC 379
FIR2024125,03-11-2023 11:20,Pune,18.5204303,73.8567437,Nisha Shah,nisha@email.com,Amit Singh,Assault in Public Place,IPC 351
FIR2024126,03-11-2023 16:50,Jaipur,26.9124336,75.7872709,Ankit Mehta,ankit@email.com,Megha Sharma,Burglary at Shop,IPC 454
FIR2024127,04-11-2023 09:10,Lucknow,26.8466937,80.946166,Kavita Verma,kavita@email.com,Sanjay Yadav,Robbery at ATM,IPC 392
FIR2024128,04-11-2023 18:35,Delhi,28.7040592,77.1024902,Rahul Kapoor,rahul@email.com,Manisha Kumar,Theft of Valuables,IPC 379
FIR2024129,05-11-2023 10:00,Mumbai,19.0759837,72.8776559,Arun Khan,arun@email.com,Pratik Patel,Physical Assault at Pub,IPC 351
FIR2024130,05-11-2023 17:30,Kolkata,22.572646,88.363895,Suman Das,suman@email.com,Shweta Gupta,Burglary at Office,IPC 454
FIR2024131,06-11-2023 08:55,Chennai,13.0826802,80.2707184,Shubham Reddy,shubham@email.com,Anita Kumar,Robbery at Gas Station,IPC 392
FIR2024132,06-11-2023 19:20,Bangalore,12.9715987,77.5945627,Priya Menon,priya@email.com,Suresh Desai,Vehicle Theft,IPC 379
FIR2024133,07-11-2023 09:40,Hyderabad,17.385044,78.486671,Varun Rao,varun@email.com,Kavita Gupta,Assault in Market,IPC 351
FIR2024134,07-11-2023 16:15,Pune,18.5204303,73.8567437,Nandini Shah,nandini@email.com,Vikas Singh,Burglary at Warehouse,IPC 454
FIR2024135,08-11-2023 11:10,Jaipur,26.9124336,75.7872709,Deepak Mehta,deepak@email.com,Swati Sharma,Robbery at Supermarket,IPC 392
FIR2024136,08-11-2023 15:45,Lucknow,26.8466937,80.946166,Pankaj Verma,pankaj@email.com,Priya Yadav,Theft of Electronics,IPC 379
FIR2024137,09-11-2023 08:25,Delhi,28.7040592,77.1024902,Anju Kapoor,anju@email.com,Rahul Kumar,Physical Assault at Mall,IPC 351
FIR2024138,09-11-2023 17:55,Mumbai,19.0759837,72.8776559,Akshay Khan,akshay@email.com,Monica Patel,Robbery at Jewelry Store,IPC 392
FIR2024139,10-11-2023 10:30,Kolkata,22.572646,88.363895,Shantanu Das,shantanu@email.com,Neha Gupta,Burglary at Residence,IPC 454
FIR2024140,10-11-2023 18:10,Chennai,13.0826802,80.2707184,Sneha Reddy,sneha@email.com,Vivek Kumar,Theft of Electronics,IPC 379
FIR2024141,11-11-2023 09:15,Bangalore,12.9715987,77.5945627,Raghav Menon,raghav@email.com,Priyanka Desai,Robbery at Bank,IPC 392
FIR2024142,11-11-2023 19:50,Hyderabad,17.385044,78.486671,Kriti Rao,kriti@email.com,Sanjay Gupta,Vehicle Theft,IPC 379
FIR2024143,12-11-2023 08:50,Pune,18.5204303,73.8567437,Rohan Shah,rohan@email.com,Shilpa Singh,Assault in Public Place,IPC 351
FIR2024144,12-11-2023 17:35,Jaipur,26.9124336,75.7872709,Alok Mehta,alok@email.com,Priya Sharma,Burglary at Shop,IPC 454
FIR2024145,13-11-2023 11:05,Lucknow,26.8466937,80.946166,Sandhya Verma,sandhya@email.com,Rajesh Yadav,Robbery at ATM,IPC 392
FIR2024146,13-11-2023 16:45,Delhi,28.7040592,77.1024902,Preeti Kapoor,preeti@email.com,Manish Kumar,Theft of Valuables,IPC 379
FIR2024147,14-11-2023 10:15,Mumbai,19.0759837,72.8776559,Sameer Khan,sameer@email.com,Kavita Patel,Physical Assault at Park,IPC 351
FIR2024148,14-11-2023 19:30,Kolkata,22.572646,88.363895,Kunal Das,kunal@email.com,Ritika Gupta,Burglary at Office,IPC 454
FIR2024149,15-11-2023 08:40,Chennai,13.0826802,80.2707184,Pooja Reddy,pooja@email.com,Manoj Kumar,Robbery at Gas Station,IPC 392
FIR2024150,15-11-2023 17:20,Bangalore,12.9715987,77.5945627,Naveen Menon,naveen@email.com,Swati Desai,Vehicle Theft,IPC 379
FIR2024201,22-10-2023 09:30,Delhi,28.7040592,77.1024902,Suresh Gupta,suresh@email.com,Anil Kumar,Robbery at Jewelry Store,IPC 392
FIR2024202,22-10-2023 14:15,Mumbai,19.0759837,72.8776559,Priya Sharma,priya@email.com,Rahul Verma,Physical Assault in Public Place,IPC 351
FIR2024203,23-10-2023 17:45,Kolkata,22.572646,88.363895,Rakesh Das,rakesh@email.com,Sunita Gupta,Burglary at Residence,IPC 454
FIR2024204,23-10-2023 08:20,Chennai,13.0826802,80.2707184,Meenal Reddy,meenal@email.com,Arvind Desai,Robbery at Electronics Store,IPC 392
FIR2024205,24-10-2023 19:00,Bangalore,12.9715987,77.5945627,Nisha Shah,nisha@email.com,Vikas Kumar,Vehicle Theft,IPC 379
FIR2024206,24-10-2023 09:45,Hyderabad,17.385044,78.486671,Varun Rao,varun@email.com,Shilpa Singh,Assault at Market,IPC 351
FIR2024207,25-10-2023 17:15,Pune,18.5204303,73.8567437,Rajiv Mehta,rajiv@email.com,Kavita Verma,Robbery at Bank,IPC 392
FIR2024208,25-10-2023 08:30,Jaipur,26.9124336,75.7872709,Pankaj Verma,pankaj@email.com,Swati Sharma,Theft of Jewelry,IPC 379
FIR2024209,26-10-2023 12:00,Lucknow,26.8466937,80.946166,Mohan Reddy,mohan@email.com,Lalitha Kumar,Robbery at ATM,IPC 392
FIR2024210,26-10-2023 16:30,Delhi,28.7040592,77.1024902,Karan Kapoor,karan@email.com,Manisha Kumar,Burglary at Shop,IPC 454
FIR2024211,27-10-2023 10:45,Mumbai,19.0759837,72.8776559,Anjali Khan,anjali@email.com,Rajesh Patel,Physical Assault at Mall,IPC 351
FIR2024212,27-10-2023 19:30,Kolkata,22.572646,88.363895,Rohit Das,rohit@email.com,Surbhi Gupta,Theft of Electronics,IPC 379
