REGISTERED DISTRICT,Registered PS,Latitude,Longitude,FIR Number,Accused Information,Accused email,criminal information,Incident Description,Crime Type,DateTime
ETMADPUR,HATHRAS,27.5980718,78.0492265,FIR2024101,Ashok Sharma,ashok@email.com,Amit Patel,Theft of Mobile Phone,IPC 379,2023-10-22 09:30:00
CHHARRA,ALIGARH,27.925143,78.401997,FIR2024102,Ramesh Verma,ramesh@email.com,Vinay Kumar,Physical Assault,IPC 351,2023-10-22 14:15:00
ATRAULI,ALIGARH,28.0305378,78.285805,FIR2024103,Rekha Das,rekha@email.com,Suresh Gupta,Burglary at Residence,IPC 454,2023-10-23 17:45:00
BANNADEVI,ALIGARH,27.8986076,78.0523548,FIR2024104,Mohan Reddy,mohan@email.com,Lalitha Kumar,Robbery at Jewelry Store,IPC 392,2023-10-23 08:20:00
BANNADEVI,ALIGARH,27.8986076,78.0523548,FIR2024105,Sunita Menon,sunita@email.com,Arvind Desai,Vehicle Theft,IPC 379,2023-10-24 19:00:00
BANNADEVI,ALIGARH,27.8986076,78.0523548,FIR2024106,Anand Rao,anand@email.com,Sarita Gupta,Physical Assault,IPC 351,2023-10-24 09:45:00
BANNADEVI,ALIGARH,27.8986076,78.0523548,FIR2024107,Aarti Shah,aarti@email.com,Rajesh Singh,Robbery at Bank,IPC 392,2023-10-25 17:15:00
BANNADEVI,ALIGARH,27.8986076,78.0523548,FIR2024108,Rajiv Mehta,rajiv@email.com,Shikha Sharma,Theft of Jewelry,IPC 379,2023-10-25 08:30:00
BANNADEVI,ALIGARH,27.8986076,78.0523548,FIR2024109,Neha Verma,neha@email.com,Mukesh Yadav,Robbery at ATM,IPC 392,2023-10-26 12:00:00
BANNADEVI,ALIGARH,27.8986076,78.0523548,FIR2024110,Karan Kapoor,karan@email.com,Manish Kumar,Burglary at Shop,IPC 454,2023-10-26 16:30:00
SASNI GATE,ALIGARH,27.863984,78.067374,FIR2024111,Anjali Khan,anjali@email.com,Rajesh Patel,Physical Assault,IPC 351,2023-10-27 10:45:00
SASNI GATE,ALIGARH,27.863984,78.067374,FIR2024112,Rohit Das,rohit@email.com,Surbhi Gupta,Theft of Electronics,IPC 379,2023-10-27 19:30:00
BANNADEVI,RAMPUR,28.798299,79.0220287,FIR2024113,Raghav Reddy,raghav@email.com,Kavita Kumar,Robbery at Gas Station,IPC 392,2023-10-28 08:15:00
CIVIL LINES,ALLAHABAD,25.4529334,81.8348882,FIR2024114,Pooja Menon,pooja@email.com,Vikas Desai,Vehicle Theft,IPC 379,2023-10-28 17:40:00
CIVIL LINES,ALLAHABAD,25.4529334,81.8348882,FIR2024115,Shilpa Rao,shilpa@email.com,Satish Gupta,Assault in Public Place,IPC 351,2023-10-29 09:20:00
CIVIL LINES,ALLAHABAD,25.4529334,81.8348882,FIR2024116,Aditya Shah,aditya@email.com,Ritu Singh,Burglary at Warehouse,IPC 454,2023-10-29 18:55:00
CIVIL LINES,ALLAHABAD,25.4529334,81.8348882,FIR2024117,Neelam Mehta,neelam@email.com,Vikram Sharma,Robbery at Supermarket,IPC 392,2023-10-30 11:30:00
CIVIL LINES,ALLAHABAD,25.4529334,81.8348882,FIR2024118,Vishal Verma,vishal@email.com,Kirti Yadav,Theft of Valuables,IPC 379,2023-10-30 15:15:00
CIVIL LINES,ALLAHABAD,25.4529334,81.8348882,FIR2024119,Ravi Kapoor,ravi@email.com,Manisha Kumar,Physical Assault at Park,IPC 351,2023-10-31 07:40:00
HANDIA,ALLAHABAD,25.3627247,82.1898703,FIR2024120,Alka Khan,alka@email.com,Pradeep Patel,Robbery at Jewelry Store,IPC 392,2023-10-31 16:25:00
KARELI,ALLAHABAD,25.429619,81.8172399,FIR2024121,Suraj Das,suraj@email.com,Sunita Gupta,Burglary at Residence,IPC 454,2023-11-01 10:10:00
KHULDABAD,ALLAHABAD,25.4343685,81.8250448,FIR2024122,Meenal Reddy,meenal@email.com,Krishna Kumar,Theft of Electronics,IPC 379,2023-11-01 19:45:00
KHULDABAD,ALLAHABAD,25.4343685,81.8250448,FIR2024123,Prakash Menon,prakash@email.com,Kiran Desai,Robbery at Bank,IPC 392,2023-11-02 08:30:00
KHULDABAD,ALLAHABAD,25.4343685,81.8250448,FIR2024124,Shruti Rao,shruti@email.com,Vivek Gupta,Vehicle Theft,IPC 379,2023-11-02 18:00:00
KHULDABAD,ALLAHABAD,25.4343685,81.8250448,FIR2024125,Nisha Shah,nisha@email.com,Amit Singh,Assault in Public Place,IPC 351,2023-11-03 11:20:00
KHULDABAD,ALLAHABAD,25.4343685,81.8250448,FIR2024126,Ankit Mehta,ankit@email.com,Megha Sharma,Burglary at Shop,IPC 454,2023-11-03 16:50:00
KHULDABAD,ALLAHABAD,25.4343685,81.8250448,FIR2024127,Kavita Verma,kavita@email.com,Sanjay Yadav,Robbery at ATM,IPC 392,2023-11-04 09:10:00
KHULDABAD,ALLAHABAD,25.4343685,81.8250448,FIR2024128,Rahul Kapoor,rahul@email.com,Manisha Kumar,Theft of Valuables,IPC 379,2023-11-04 18:35:00
